,Sampen_Delta,Sampen_Beta,Sampen_Theta,Sampen_Gamma,Sampen_Alpha,BIS
60,0.6370938613180401,2.1278681355853104,1.9045000921835038,1.8346088670783804,2.2216160304603787,97.7
61,0.5852375011036349,2.101878164991446,1.8874346791514176,1.8713794332892926,2.2617630984737906,97.7
62,0.6345223372124218,2.191886851667742,1.9685099809725544,1.8888061495807706,2.136136885356381,97.7
63,0.7744005421343778,2.128520423550981,1.8445576547950258,1.9173387298106468,2.116482813360185,97.7
64,0.570544858467613,2.1466983671407047,1.9655571464391097,1.8690313244776462,1.9322113046971514,97.7
65,0.5919839428374589,2.2160625940390855,1.8766589130145412,1.878810116574461,2.16730289747117,97.7
66,0.5716425179805673,2.175289500469964,2.0105926690411424,1.9055165872116566,1.8376390749787488,97.6
67,0.6510888372318848,2.105450980136011,1.8175289824071066,1.9071383948859466,1.9394930147346798,97.5
68,0.6194250356889982,2.1348548393412727,1.8587300953342387,1.8992235494900538,1.9293808471041027,97.5
69,0.6064234491928943,2.159180673663117,1.7215199738522533,1.8928587191621649,1.9605803388031071,97.4
70,0.6813922173285016,2.186438648426068,1.9525842561430065,1.8625519561667951,1.9089544425328842,97.4
71,0.6662095248281369,2.157313176921683,1.9835715036916237,1.9041104201342491,2.1490752334386367,97.4
72,0.585788662239446,2.1409747234912775,1.8874846729022092,1.8602040141517182,1.8096170866280614,97.3
73,0.5629714957823951,2.112061570801765,1.9255842460412744,1.8529058366680722,1.8839906934440886,97.2
74,0.5459368181685901,2.086988747315219,1.9069308554501405,1.8703386906166761,2.061741964580435,97.1
75,0.5423920897338251,2.0909993613980147,2.0273255405408217,1.8692986780607157,2.0984897366505306,97.1
76,0.577861025102149,2.0980179272527715,1.9148195619852824,1.8612972655917355,2.14366113441413,97.1
77,0.6436723440155209,2.1862287426616898,1.908989560441265,1.899534861693341,2.1000608288825715,97.0
78,0.6329492507021,2.1129157694305922,1.9944941489110577,1.9351987243219342,1.9503644994046936,96.8
79,0.6524761408290175,2.1633098591902713,1.9732514946596342,1.9478693087506136,2.020945334998227,96.8
80,0.5958642532484859,2.1702545811596474,1.984131361875511,1.94770360342932,2.0817116902143753,96.8
81,0.6294893287879677,2.2107193375396177,1.9831543222276844,1.9756995858574204,2.176605290133484,97.0
82,0.5949671249092905,2.1656034381773703,1.7649813501466622,2.017804007384756,2.095816176551626,97.0
83,0.6742858141745677,2.173815454445928,1.9621048349752939,1.9819685308145691,2.1041341542702074,97.1
84,0.7083779359056513,2.1460451541336885,1.960298886507413,1.9518639106313123,2.07159836421881,97.1
85,0.8420808696597205,2.1585066887334223,2.0149030205422647,2.0086114933227845,2.2900063107871858,97.0
86,0.6763657035979419,2.1437277342146213,1.9782016536918368,1.97033765691816,1.8111775550851565,96.9
87,0.645160889002525,2.212615620174425,1.8927626795169257,1.9528961279444665,2.020352625309829,96.5
88,0.7606737761243693,2.209450161193187,1.9679861007545132,1.9944778770879275,2.0583881324820035,96.1
89,0.6273208292379455,2.1347638894302112,1.7487219575480728,1.94053668099417,1.9389737050586562,96.4
90,0.6143663027068309,2.1385292950637362,1.757073911240165,1.931444727426956,2.001480000210124,96.5
91,0.6803592825101896,2.1463706279936714,1.7674273685685242,1.8643253681875456,2.0903467751620983,95.7
92,0.7571795007249256,2.212452607835946,1.942192672655181,1.8330913519481613,2.0492277630833393,95.5
93,0.732868714513322,2.173911624417096,1.8546732946386244,1.9145030895948567,1.9682159065696114,95.5
94,0.6759705301593554,2.0763116486709086,1.7511741891129766,1.856675474871466,1.991030584335783,96.3
95,0.7187531314651165,2.127525795784267,1.6596997472149886,1.8530750378508938,1.9789710113162013,96.3
96,0.7830627833423871,2.151579069846259,1.8078888511579385,1.8736871915973627,2.108558940250563,96.6
97,0.7804676096891305,2.127422950375436,1.901903048326481,1.8964837747193168,2.024056402528752,97.1
98,0.7770758354644987,2.1492701842141835,1.8302257500558512,1.8410305182348379,2.092289684157685,97.3
99,0.6771801631050712,2.1561229016506673,1.7323360487572543,1.986763031129431,1.8971199848858813,97.3
100,0.680226225552484,2.0957448215320778,1.7389719646260027,1.972863523533121,1.9143617913203874,97.3
101,0.7511523345012888,2.139224548841343,1.672898266351326,1.9732227711860364,2.209494669928034,97.4
102,0.6789186695615759,2.0916847515097454,1.5479056207454556,1.9652926711376721,2.1249583805042986,97.4
103,0.6653676164528697,2.141661619975615,1.6368368866222147,1.9824798338370382,1.9524819142185479,97.3
104,0.6423047282886841,2.175496600475771,1.8225311278948086,1.9776063810973479,1.8684520900163095,97.3
105,0.6983352596417233,2.162042408874609,1.6733318960050463,1.9109271579133313,2.1125414901061808,97.3
106,0.7059042635607163,2.1033984995043182,1.8256610209037363,1.9490045300700611,1.9706638882082517,97.0
107,0.6779008699870717,2.1559354496846845,1.639343395213005,1.9302349369506087,1.996341002682205,97.1
108,0.6657289428175119,2.139057971854477,1.6770058209232788,1.924935922449534,1.9045919997245824,97.3
109,0.7108217304422464,2.150290495938365,1.7028523570735261,1.9361851286549037,2.367123614131617,97.3
110,0.7322176420413941,2.194430215045414,1.861010705268827,2.0288867867761704,1.9564365620423008,97.4
111,0.6376544422984485,2.1579290390865657,1.769031218150499,2.1267766310199674,2.067349495914807,97.4
