,Sampen_Delta,Sampen_Beta,Sampen_Theta,Sampen_Gamma,Sampen_Alpha,BIS
60,0.5868525219103221,1.3546909900167023,1.6148287610689769,1.8984012150419298,2.1576937385795842,73.4
61,0.605570991355357,1.3244622015800624,1.6205904443845753,1.8770394746724426,2.2027647577118348,72.7
62,0.5608126761692688,1.353403964505998,1.5717622236032103,1.8451079123901162,2.211738620220473,71.9
63,0.5237208452623595,1.357300551724363,1.6245769736497846,1.8656842744245838,2.1332027185712885,72.1
64,0.549504478331102,1.361881501324439,1.6221566848418751,1.7850062891290464,1.8405496333974871,72.2
65,0.5969002325372336,1.345659605200944,1.611011476881531,1.7941220327985863,1.90074975293646,72.4
66,0.5894477948521955,1.3234755774353506,1.7218008806211447,1.7727862850828215,2.066604394919155,72.3
67,0.5922379172093071,1.330360687175838,1.8014213801397918,1.7855810014544626,1.9213522982736493,72.1
68,0.5936988442853477,1.3254864471585643,1.7111074141467177,1.7784861126871774,2.1055402946471973,72.8
69,0.567569873176743,1.3575611639186396,1.6984587633308612,1.845321097363627,2.0986993582842506,72.4
70,0.5714206111234745,1.373609201592575,1.7237060059830394,1.7817379107670361,2.1633230256605382,73.1
71,0.5822503185809588,1.3371130428235036,1.6458631586325825,1.873186387891768,2.090491377866421,73.6
72,0.57043450146259,1.3290791552353562,1.6629786793621302,1.8107937188505687,1.9816282316573925,73.6
73,0.5853400924793277,1.3170329251086983,1.7270170537070677,1.8339598237184314,2.066604394919155,73.9
74,0.5919680566190934,1.3160729302004261,1.744634584377684,1.8247645618566992,2.216971340271054,75.1
75,0.598500791022277,1.3084086643707906,1.751192284239055,1.8431885712346217,2.1430030231695802,75.8
76,0.6002868276663506,1.330718852240447,1.6847873496758872,1.7986259711071495,2.4408466599939698,76.9
77,0.5681009898310887,1.213727279858363,1.834684513945089,1.768717722915825,2.4058846628318493,77.1
78,0.5474236561420086,1.2458621702794621,1.8867212776649827,1.7924699488316538,2.1653839714805607,77.5
79,0.5543107357057294,1.2696219204258596,1.7427377967811681,1.850158045402005,2.157559320943788,77.8
80,0.5696514528579065,1.2584915913940922,1.6079100282560472,1.853960490425101,1.9915556565452737,79.5
81,0.5850971594236074,1.21041283037185,1.8047466647548662,1.826877581810637,2.0324354993039053,79.5
82,0.5530344113461247,1.2174412853453238,1.8513515664303006,1.7889778262661782,2.1683890276963322,79.5
83,0.5753641449035618,1.2622935995177205,1.8750701536662076,1.846338166757803,2.178072145121463,79.9
84,0.6041550280901814,1.2667408912447942,1.7950543651249076,1.869531598821076,2.222304261733243,79.9
85,0.664049618564179,1.1918296165817173,1.7189076208420597,1.864974917308511,2.2197607423586323,79.9
86,0.6528919188403508,1.2152759322142048,1.8421903228549468,1.8383888761008187,2.092378332710555,79.9
87,0.5167411070974255,1.2226569526367763,1.8251464852607922,2.130264640072488,2.186051276738094,79.9
88,0.635919884336639,1.2142770034621349,1.640209571100854,1.966277451879747,2.1115298562313365,80.5
89,0.6234279607570576,1.1988121219852006,1.6858108912186744,1.8389937509849057,2.1129642337184795,79.6
90,0.5398560436650759,1.2010179689130558,1.6665081389641456,1.8320071361743726,2.2441540095582027,79.5
91,0.5711229994975655,1.2143844194480378,1.6319107682861589,1.9360284614862153,2.1890612666970584,79.3
92,0.5455383022366269,1.2354435192951878,1.7025638904235842,2.1472948752511214,2.1630556817209694,78.7
93,0.5589083241634322,1.208682376377689,1.7528776816838476,2.042098763350755,2.142863368117332,78.6
94,0.5126487783275059,1.2265065986942025,1.6693927739040135,2.031226525888393,2.1972245773362196,78.7
95,0.554719817323216,1.1973402807658062,1.7980290822416505,2.0587954070376733,2.1999985042189447,77.8
96,0.5971924631889952,1.2531216614222025,1.5981860356366655,1.9718608516354699,2.1276778426393186,77.2
97,0.5951479665467617,1.2016860866474164,1.5926307941177191,2.013703592433346,1.9383629434199303,76.3
98,0.5700574366485447,1.2494898030630097,1.6754634226932499,2.06713592132307,2.228881897206911,75.5
99,0.5589890251446135,1.1980974400645126,1.5745506534336597,1.9681510800499857,2.205735267004128,74.3
100,0.5843084005257942,1.2811722529015055,1.627166015727681,2.0843925007248467,1.900562329076854,73.6
101,0.5484864889175353,1.2766048792054265,1.6186263384885067,2.0452153088201843,2.203378442910598,73.3
102,0.5139124123976622,1.2406210714816748,1.6574952073878797,2.0232243420756455,2.330755969960742,72.5
103,0.5341252675940434,1.2139837549921353,1.5325288180006669,2.1071828264678194,2.345005808877998,72.5
104,0.5427629835281639,1.2412315156085656,1.548350220454262,2.069283742498092,2.2373445711256448,73.0
105,0.5910685844872285,1.2448420363550048,1.6397432619294292,1.9892240061245732,2.1892564076870427,72.7
106,0.5893675006420467,1.2788703251008637,1.739003116788744,2.004729279045443,2.02595285672885,74.5
107,0.5783786101949546,1.291444198190963,1.8166984175753071,1.9884928046833128,2.308815642744682,76.0
108,0.6610189035731286,1.2925443122411777,1.6700625342505353,1.993105261436434,2.3639937211226894,76.9
109,0.7226229986928989,1.257923166127253,1.4842747694800944,1.9829854175739596,2.275916845911884,77.1
110,0.7205461547480597,1.1355900281404363,1.6419737024854977,2.042255566857729,2.344134095906918,77.4
111,0.6766674068522257,1.2146306613803906,1.6731199024700552,2.027052581908416,2.3025850929940455,78.2
112,0.6049726069752799,0.9700335353714911,1.7565558340350753,1.7643419911531986,2.1539745935424026,79.4
113,0.5526358938260056,1.0190228247856818,1.6758403670097342,1.9121061393227448,2.0794415416798357,80.2
114,0.6039944751289724,1.1411405904616527,1.5425436776040702,1.9820577036836073,2.0518915899116053,80.5
115,0.5781480360643504,1.1447476404480397,1.7083208005759989,1.887601630957541,2.324563999712821,81.1
116,0.6009159563439117,1.1489432427311328,1.6320803891838602,1.9425595944758873,1.9575044818362326,80.9
117,0.5588262103184052,1.1286354443059052,1.6250300071939365,1.8857355372694233,2.0484094324321074,80.9
118,0.6005729805744952,1.1708393755876854,1.591365131374406,1.9609263133922537,2.0476928433652555,81.0
119,0.6133042930489281,1.1189985788288537,1.782369728878216,1.919579586839637,1.964602282067466,80.6
120,0.5904930264998619,1.1587751191234577,1.8085923073782875,1.9667410447200186,2.281144761756176,80.3
121,0.5497782763359753,1.1856421470423653,1.6827993373340377,2.003563908904571,2.4789364828014966,79.0
122,0.6870215871332628,1.194713315914605,1.6081550386212111,1.9796273179518238,2.1294519622544974,78.0
123,0.6557539181412665,1.2681320950520234,1.8079959882756955,1.9740810260220096,2.0518915899116053,77.8
124,0.7985076962177716,1.3018397190556361,1.7205712071776678,2.0299905297449308,2.499172226946823,77.6
125,0.7040102928173163,1.3101508536447037,1.7769443834429144,2.0498085573939426,1.9568392195875037,77.3
126,0.7200546334798696,1.3601352166140366,1.8989041066793828,1.991332383665665,2.517696472610991,76.5
127,0.7018605670855107,1.3882613989788244,1.806968887891584,2.062044247098236,2.097141118779237,75.2
128,0.6884078351960488,1.4237069593033822,1.7840134971133996,2.036610829040495,2.635805294228881,75.0
129,0.6363782506587081,1.425085005141105,1.8556467366793064,2.054908355155964,2.173127025757159,75.2
130,0.6654226325450905,1.5279131910900758,1.758861765720996,2.016606994310612,2.254382991176168,74.3
131,0.62518399854101,1.4584235713325302,1.8428654801615514,1.9658267868559898,2.23907168727172,72.9
132,0.6606284706571455,1.4959124471193108,1.8281271133989299,1.9462086565202166,2.5020010831473005,72.8
133,0.7219303716794724,1.5438450581951884,2.239406191372514,2.029995920810103,2.477302050402781,71.8
134,0.6989645326258587,1.531846771647404,1.8126370542496102,2.0047460318360795,2.3620705462802256,72.2
135,0.6524888464213842,1.5088936336089,1.7210439444296572,1.948122539338254,2.270496778442545,72.1
136,0.6961260329265325,1.5304213721158761,1.754854912292604,1.9991739034082787,2.101420448398611,71.8
137,0.6371764153156528,1.5759831217487241,1.9177392720886168,1.960983936447284,2.151762203259462,71.8
138,0.6119678766421155,1.5595127112902618,1.854342955529823,1.9911764975501045,2.229723744729174,71.1
139,0.6555596392980468,1.5701528697263376,1.9042374526547454,1.996330405701285,2.208556143345769,71.1
140,0.614719547261707,1.6056317069033108,1.8882973962707024,1.943824642564292,2.211738620220473,71.5
141,0.652782956704585,1.6400441061758586,2.0105926690411424,1.924197092024129,2.1384750732640287,71.5
142,0.6355366725475404,1.6626522707469717,1.8278951755572315,1.9905741786040227,2.423537703411708,71.8
143,0.6657635192522605,1.6337501581200304,1.911489925168834,2.022047536757603,2.261199876831191,71.8
144,0.6694038379406254,1.5914654711295677,1.9218125974762528,1.9703168674323226,2.084861609149175,71.6
145,0.6830176623210897,1.6098371937330764,2.2078516699105055,1.9876607609565602,2.2441540095582027,72.4
146,0.6531311721637244,1.6003843526511676,1.9609480264198538,1.954241565634977,2.2141741356499924,74.1
147,0.6378057529032914,1.5803115766340037,1.8479297406951096,2.001605262478161,2.4190600839904137,74.9
148,0.6277784393663851,1.595119811416303,1.9673242435591298,1.942837950018343,2.4381305849902697,75.2
149,0.6725514868878645,1.566588733807411,1.7832848422370828,1.9266486353130379,2.2106837307102243,75.5
150,0.6926005831153444,1.5889541044494584,1.8149917707213234,1.9740810260220096,2.109473828778711,76.1
151,0.6565258258714087,1.6155839189296215,1.9023302683512882,1.9804504743074893,2.465910149097345,77.1
152,0.6727273415512026,1.636619931221355,1.9396795993046774,2.0041170916321134,2.001480000210124,76.6
153,0.7742100598962706,1.6191337550825626,1.7204346884061248,1.8965401066440595,2.0691850415126467,75.7
154,0.803122033768517,1.5941902062091018,1.9065349838204833,1.8960501227960305,2.060236561843786,75.2
155,0.7660437655273701,1.5827158787770552,2.1122313645028266,1.8989041066793828,2.0149030205422647,75.6
156,0.6691011382010466,1.6200105669452796,1.7782587820091524,1.8933564349241132,2.1439800628174073,75.6
157,0.7851054019185654,1.5484538564411332,1.759324193474901,1.9403442719778683,1.9895852125579747,75.6
158,0.8406220060237317,1.5630408652579528,1.851657610809124,1.9620438681945498,2.2713325494899412,76.3
159,0.909757810832532,1.6059604727486918,2.026121904147053,1.8859075338522024,1.8911701160796464,77.6
160,1.0480910673349597,1.6241829964933079,1.9197780087784653,1.9172303948899008,1.9901548508530706,77.7
161,0.9667968312591029,1.6822381753282691,2.029010688052944,1.8888909268054872,2.1400661634962708,77.9
162,0.8203420503986754,1.6818740589719392,1.857617541909635,1.8524012756848587,2.0281482472922856,78.1
163,0.6273594400219421,1.6434613387689316,2.0005934753293673,1.888176644504561,2.132686056198648,77.6
164,0.668638761531214,1.6511871142794916,1.9341314498627007,1.8993138383109,2.3259931838920607,78.1
165,0.656086295460094,1.6674078122666742,1.9843329544575867,1.8481540240151146,2.089010992695987,78.4
166,0.5963477972041527,1.7324428920716355,2.1378851375499104,1.940027779152247,2.0587749048712767,78.8
167,0.5859965547798702,1.7105394899917135,2.3074512826452187,1.9443247916576176,2.0211335702929007,77.8
168,0.6052133793742953,1.6950190370403062,2.027173113134079,2.0087700719216692,2.028601864900427,77.3
169,0.6749745799802999,1.7087968480273705,1.8364097429657937,1.936283800653582,1.9183221925364844,77.5
170,0.7151006907758176,1.7295369262938325,1.8815057570843305,1.9480701326152399,2.242686951412977,78.2
171,0.6590415680734345,1.6856937060073138,1.8366312234052304,1.883800474968392,2.4085336710034264,78.9
172,0.6691460284604023,1.745856373620069,1.9867321435755685,1.9836392195167287,1.8816788003975033,78.2
173,0.6567795363890705,1.7223569855016243,1.9711746507147951,1.9421583208511202,2.2499413595086235,78.2
174,0.643213221353215,1.7371355500597518,2.056867219641297,1.933787018033313,1.8860418997127268,78.2
175,0.6334279458583231,1.6992607015627976,2.1316272948504063,1.9346798115257595,2.285364495242375,78.1
176,0.6854080595669898,1.712316718718433,2.03688192726104,1.8689438070835083,1.8325814637483102,77.3
177,0.48281457418605733,1.7373061839651227,2.3513752571634776,1.9294238754382673,2.117181869662683,78.2
178,0.49526533152686597,1.7163138669119753,2.185333830814698,1.949076530514862,2.001954046201462,79.2
179,0.5295624684993284,1.6815992021510227,2.0940403411009885,1.9470756503527484,2.2803893606022614,79.9
180,0.561570822771226,1.6751565012943035,1.87895601425821,1.9959658195225138,1.9834614947074458,79.8
