,Sampen_Delta,Sampen_Beta,Sampen_Theta,Sampen_Gamma,Sampen_Alpha,BIS
60,0.6141587692413149,2.086479616014495,2.1304440961322086,1.9272996920345487,2.0184056510934667,95.8
61,0.6546943480938029,2.143785615180659,2.117402303919059,2.0313918440381276,1.9545308920992204,95.3
62,0.5998087398104602,2.190770339521425,2.32949254591397,2.0154796980719425,2.207052666272482,93.5
63,0.6271260794621514,2.169186581905829,2.344134095906918,2.049345736303555,2.119535998881714,92.8
64,0.6398386271054382,2.135207003629977,2.386466576974748,2.041954543283223,2.2434221683350772,93.0
65,0.5996725853801036,2.1158641755401577,2.379546134130174,2.0157277628570553,2.298029276458185,92.7
66,0.616838987496621,2.187876145218084,2.211738620220473,2.054863751893399,2.0996897025097834,91.3
67,0.5830564905267175,2.1850916495481316,2.018230810634939,2.056530060054342,2.006961969169452,90.4
68,0.5856747316989754,2.1507984804616678,1.980297491364789,2.0894407478764503,2.1413169453979233,89.7
69,0.6042596304120875,2.2402342778263673,2.314281132757237,2.082064150054273,2.03688192726104,88.5
70,0.6490489622742152,2.1806165179522354,2.1332027185712885,2.0579204056259557,1.9798117007309946,88.5
71,0.6228400491658799,2.190092466456573,2.108277091319723,2.0970404315890794,1.9980959022258835,88.2
72,0.6452077182708262,2.2163998209667213,2.2483635388274066,2.087919990592203,2.1302138670532593,87.6
73,0.6487288891119034,2.182433182338917,2.1886408336448278,2.1261918747699715,2.0230568222691976,87.3
74,0.6761160395416602,2.120439732130421,1.9836504770381604,2.0706986987897587,2.329253340076207,86.8
75,0.6887580001411822,2.174147674350119,2.141433217707804,2.0998540677942716,2.286235954992516,86.4
76,0.6563569714134186,2.1361904486548218,2.0275881800695803,2.0547739621539716,2.2160170766855867,86.4
77,0.6728838230725868,2.1664159794529425,2.114157978637606,1.9854638071092898,2.0794415416798357,85.6
78,0.5921828802528369,2.1764387624669843,2.177080011243752,1.9977135174146472,2.0841474327172484,85.8
79,0.6601535113110093,2.122451720880644,2.137612174534704,1.9997512155216626,2.0483509546098047,84.8
80,0.7238401269593514,2.133641662146267,2.2335922215070942,1.9661609899917682,2.084746593909529,85.0
81,0.7070626486219199,2.12378411738938,2.0566845545572194,1.961547289874753,2.284930157755325,84.8
82,0.7907417702669025,2.1374885103098,2.1716477355465695,1.7653028996912246,2.0907410969337694,85.3
83,0.799815740877787,2.1027154161834627,2.20494662343013,1.8068248078036366,2.034989779109002,84.3
84,0.7495812668404873,2.087247582981128,2.228477120840324,1.804938482970807,2.4033897921160112,84.5
85,0.7455936559324878,2.1325298389577023,2.042717708725142,1.8202942179635866,2.1484344131667874,85.2
86,0.7168332231563295,2.1948379413584886,2.1801717889535,1.832505270369478,2.2053217875688387,84.2
87,0.6896769630809382,2.1717679451923364,2.1302138670532593,1.8391440880639636,2.2361399935858928,85.9
88,0.7239918559110439,2.146358439427919,2.3147064535263904,1.8516296587190046,2.192043218594222,85.0
89,0.7295604941300471,2.167156008657577,2.003517698317139,1.7947392092158503,2.181224235989778,83.8
90,0.7631700406496209,2.134253553177143,2.285364495242375,1.848997701082972,2.0820423233798935,83.6
91,0.7399463620490841,2.198540193892248,2.2180277049659827,1.877784248579139,2.108429078553088,83.3
92,0.7606683814354405,2.2038341650325872,2.147214156761558,1.8729565115559152,2.138864962150637,83.3
93,0.6954302865745139,2.2165795836499957,1.9432110920861483,1.881765572703309,2.0918640616783932,83.0
94,0.6665755689527421,2.0849168211633233,2.049994340353535,1.8899888092578014,2.1308737153121067,82.8
95,0.6770801880987397,2.156696402551939,2.168445612786176,1.8919665417634637,2.087223682121891,82.7
