,Sampen_Delta,Sampen_Beta,Sampen_Theta,Sampen_Gamma,Sampen_Alpha,BIS
60,0.6742191706744265,1.5960852725080836,2.1302138670532593,2.0509356332269,2.3025850929940455,81.1
61,0.6231117043626542,1.5686018602351894,2.0771662278427003,1.9331304224089143,2.4450607412408005,80.1
62,0.6301287562859217,1.5908135816896989,1.9869291684998587,1.9545101332598462,2.12389330425067,80.0
63,0.624786650947799,1.577634287288383,2.0507314357974047,1.9404854875072821,2.2842359543258492,80.0
64,0.6276077038813196,1.5647984143552258,1.8823967433329873,1.9431918327365358,2.122001156098632,80.1
65,0.6107596780721444,1.5517731569397792,2.14366113441413,1.9511103687824207,2.0794415416798357,82.1
66,0.6010793705240505,1.5714367942554865,1.996341002682205,1.990644912697151,1.9595529254591,80.0
67,0.6319927574066146,1.5737479708773894,2.184802057337662,1.9281525925385894,2.218599436920953,80.0
68,0.6749095930101645,1.5387096141488954,1.9210501117359182,1.9448578865941368,2.0921805674572655,79.7
69,0.6454343218412677,1.528218041587549,1.7685761337723978,1.9317646656485117,2.4396259452548437,79.8
70,0.657215171333882,1.5202654108189828,2.029844600540464,1.9671649343236366,2.094945728215801,79.7
71,0.6222651855001992,1.5111870440971047,2.096833284391705,1.9994256461736626,2.381228220313159,79.3
72,0.6695472652190718,1.5211129255678382,1.9075912847531766,2.0129914724756186,2.1456527702049106,78.5
73,0.6355236504325419,1.5175365501502789,1.8687205103641833,2.0291002421458426,2.3707933430205794,77.9
74,0.659151537804029,1.4823238791640818,2.0035568441549634,2.029549336059504,2.105689767754772,77.3
75,0.7132051596045441,1.4784439708115864,1.9566745156424716,2.0357512103256203,2.1999985042189447,77.2
76,0.7693038729805313,1.4733003000019818,2.0984897366505306,2.063449635984142,2.068512471147646,76.8
77,0.8357393419079786,1.252201185073632,1.9515334066096754,1.8081586560271725,2.0603933467091413,77.1
78,0.834187078380596,1.288967706418428,2.059074238855402,1.8421303225318502,2.455842516844089,77.1
79,0.7408118522076428,1.2522204239481958,2.0325246218920845,1.7911015311820826,2.366230358154402,76.4
80,0.7147913120595317,1.2688541081769038,2.00280831565892,1.790303383194101,2.2633643798407643,76.0
81,0.6417092834680721,1.295765607780821,2.144413996432374,1.8136007770474043,2.159484249353372,76.6
82,0.642661205914844,1.2844551444266414,1.912541007880695,1.833976235282958,2.204604684633842,75.9
83,0.6284595058685142,1.2659081949261555,1.7104138297741025,1.8238538333680323,2.128689476514163,75.2
84,0.6217382653753885,1.2649678651167866,1.8025238358152136,1.8367437296598088,2.021775899830027,74.9
85,0.6570711240861357,1.3258121486482812,1.9027379771901045,1.8684702287961141,1.954662940164908,74.5
86,0.6776742852567007,1.3397945656829542,1.7528599896143173,1.8412275010455812,1.9779720815149764,73.7
87,0.5849737235255043,1.3116660834496763,1.9757631122049943,1.861926394269297,2.190535589185423,73.8
88,0.5766440631635336,1.3367779565329712,1.8998559647047562,1.8302492954415452,2.128231705849268,74.0
89,0.6296233728529206,1.3317397422403272,1.981548664502672,1.8057289640100427,2.4326382212422435,74.1
90,0.610585579866925,1.3378899576303764,1.9847081185962958,1.7770223604085582,2.2637452596777816,74.5
91,0.6490414587100222,1.3179535293610969,2.280339484046726,1.8376762575787835,2.1948061964719376,74.5
92,0.6264084385127716,1.3029024296534717,1.960298886507413,1.8153632106139648,2.1114245875328868,74.5
93,0.6404659608975467,1.2894453272942012,1.9182193489101274,1.8251066209401745,2.0541237336955462,74.9
94,0.6512525200722551,1.257532874191328,2.1073503297969123,1.8023224941468752,2.162619048158744,74.1
95,0.6573638812754155,1.240202701321172,1.9726432112523822,1.7368112775185,2.1579131571213312,74.1
96,0.6132773486755853,1.2422934658461589,2.0452083700375936,1.7463979829641354,2.1046317905083947,74.1
97,0.5836787194694737,1.2457311478993274,1.79403997192678,1.7664103530300528,2.20494662343013,73.7
98,0.5399514586279555,1.2675532053226388,1.9880917630916082,1.8115366644976822,2.1400661634962708,73.6
99,0.5439861602169527,1.2566577383964121,2.3113699225497784,1.779409148789112,2.2129729343043585,73.6
